name,kind,K,Fp,KxFp,seed,epoch,loss,train_acc,val_acc,test_acc,sec_per_epoch,params
GAT_K1_F8,GAT,1,8,8,0,27,1.8455531597137451,0.9142857142857143,0.682,0.671,0.015561500011244789,11565
GAT_K1_F8,GAT,1,8,8,0,28,1.8366219997406006,0.9071428571428571,0.688,0.668,0.016067000018665567,11565
GAT_K1_F8,GAT,1,8,8,0,29,1.8396754264831543,0.9,0.682,0.667,0.015624667023075745,11565
GAT_K1_F8,GAT,1,8,8,0,30,1.8377385139465332,0.8928571428571429,0.67,0.663,0.016052541002864018,11565
GAT_K1_F8,GAT,1,8,8,0,31,1.827376365661621,0.8928571428571429,0.674,0.66,0.015749584010336548,11565
GAT_K1_F8,GAT,1,8,8,0,32,1.8257712125778198,0.8785714285714286,0.678,0.656,0.01603991602314636,11565
GAT_K1_F8,GAT,1,8,8,0,33,1.8192106485366821,0.8714285714285714,0.67,0.658,0.015589249989716336,11565
GAT_K1_F8,GAT,1,8,8,0,34,1.8144195079803467,0.8714285714285714,0.666,0.641,0.01626745899557136,11565
GAT_K1_F8,GAT,1,8,8,0,35,1.8014134168624878,0.8714285714285714,0.652,0.63,0.015628624998498708,11565
GAT_K1_F8,GAT,1,8,8,0,36,1.798232913017273,0.8642857142857143,0.628,0.62,0.016000666975742206,11565
GAT_K1_F8,GAT,1,8,8,0,37,1.789827585220337,0.85,0.626,0.605,0.015981083997758105,11565
GAT_K1_F8,GAT,1,8,8,0,38,1.7818844318389893,0.8428571428571429,0.61,0.594,0.01643250000779517,11565
GAT_K1_F8,GAT,1,8,8,0,39,1.7817331552505493,0.8428571428571429,0.596,0.581,0.01588233298389241,11565
GAT_K1_F8,GAT,1,8,8,0,40,1.7652925252914429,0.8428571428571429,0.596,0.579,0.01596633400185965,11565
GAT_K1_F8,GAT,1,8,8,0,41,1.7504618167877197,0.8428571428571429,0.592,0.578,0.01553754199994728,11565
GAT_K1_F8,GAT,1,8,8,0,42,1.752724289894104,0.8428571428571429,0.588,0.573,0.016031541978009045,11565
GAT_K1_F8,GAT,1,8,8,0,43,1.7407629489898682,0.8357142857142857,0.59,0.574,0.015139333991101012,11565
GAT_K1_F8,GAT,1,8,8,0,44,1.7191475629806519,0.8285714285714286,0.604,0.579,0.015781584021169692,11565
GAT_K1_F8,GAT,1,8,8,0,45,1.7196731567382812,0.8285714285714286,0.616,0.587,0.015099208016181365,11565
GAT_K1_F8,GAT,1,8,8,0,46,1.7198734283447266,0.8357142857142857,0.616,0.592,0.015202333015622571,11565
GAT_K1_F8,GAT,1,8,8,0,47,1.7246880531311035,0.8357142857142857,0.616,0.596,0.014794082992011681,11565
GAT_K1_F8,GAT,1,8,8,0,48,1.720784068107605,0.8571428571428571,0.628,0.607,0.015322292019845918,11565
GAT_K1_F8,GAT,1,8,8,0,49,1.7091522216796875,0.8571428571428571,0.638,0.62,0.014967166003771126,11565
GAT_K1_F8,GAT,1,8,8,0,50,1.7022311687469482,0.8714285714285714,0.636,0.632,0.016013333981391042,11565
GAT_K1_F8,GAT,1,8,8,0,51,1.669859528541565,0.8714285714285714,0.638,0.649,0.01583399999071844,11565
